Date,Settle,Volume
11/13/2017,11.12,12
11/10/2017,11.165,12
11/9/2017,11.175,31
11/8/2017,11.14,35
11/7/2017,11.24,20
11/6/2017,11.24,26
11/3/2017,11.285,25
11/2/2017,11.15,24
11/1/2017,11.2,178
10/31/2017,11.29,459
10/30/2017,11.45,1807
10/27/2017,11.55,657
10/26/2017,11.49,738
10/25/2017,11.665,703
10/24/2017,11.605,932
10/23/2017,11.975,436
10/20/2017,12.075,665
10/19/2017,11.93,720
10/18/2017,11.945,411
10/17/2017,12.13,429
10/16/2017,12.12,767
10/13/2017,12.185,285
10/12/2017,12.25,985
10/11/2017,12.035,491
10/10/2017,12.02,890
10/9/2017,11.84,328
10/6/2017,11.885,505
10/5/2017,11.915,534
10/4/2017,12.03,524
10/3/2017,12.015,266
10/2/2017,12.02,359
9/29/2017,11.995,464
9/28/2017,11.97,562
9/27/2017,11.9,1163
9/26/2017,11.97,717
9/25/2017,12.02,1625
9/22/2017,12.365,713
9/21/2017,12.71,180
9/20/2017,12.805,235
9/19/2017,12.78,318
9/18/2017,12.885,197
9/15/2017,12.805,162
9/14/2017,12.525,8
9/13/2017,12.64,114
9/12/2017,12.695,26
9/11/2017,12.4,28
9/8/2017,12.455,49
9/7/2017,12.425,77
9/6/2017,12.455,176
9/5/2017,12.495,121
9/1/2017,12.665,100
8/31/2017,12.55,408
8/30/2017,12.395,887
8/29/2017,12.285,1122
8/28/2017,12.33,1075
8/25/2017,12.395,659
8/24/2017,12.37,768
8/23/2017,12.3,775
8/22/2017,12.205,669
8/21/2017,12.185,794
8/18/2017,12.145,486
8/17/2017,12.12,418
8/16/2017,12.185,871
8/15/2017,12.245,379
8/14/2017,12.34,397
8/11/2017,12.495,618
8/10/2017,12.25,600
8/9/2017,12.31,635
8/8/2017,12.145,330
8/7/2017,12.045,610
8/4/2017,12.33,522
8/3/2017,12.385,389
8/2/2017,12.49,450
8/1/2017,12.37,566
7/31/2017,12.26,693
7/28/2017,12.415,465
7/27/2017,12.315,323
7/26/2017,12.275,298
7/25/2017,12.3,696
7/24/2017,12.14,286
