Date,Open,High,Low,Close,Volume,CME_RB1_FWpo
6/15/2018,2.0934,2.0959,2.0135,2.0232,53472,91640
6/14/2018,2.1208,2.1236,2.0853,2.091,59423,100950
6/13/2018,2.0815,2.1303,2.071,2.1252,86699,106782
6/12/2018,2.105,2.1171,2.0778,2.0899,59061,112686
6/11/2018,2.1125,2.1154,2.0839,2.1049,59665,122515
6/8/2018,2.1176,2.1264,2.0952,2.1153,79932,130790
6/7/2018,2.0772,2.1208,2.0758,2.1148,92664,141766
6/6/2018,2.0936,2.1185,2.0554,2.07,95440,157737
6/5/2018,2.1247,2.1332,2.0842,2.1062,74484,164809
6/4/2018,2.14,2.1502,2.1079,2.1224,72140,169329
6/1/2018,2.1656,2.1724,2.1316,2.1434,68306,176765
5/31/2018,2.18092,2.20074,2.144,2.16046,72544,143206
5/30/2018,2.14178,2.18836,2.13176,2.17712,58529,112257
5/29/2018,2.16966,2.17146,2.12714,2.1413,51485,86852
5/25/2018,2.23144,2.23444,2.16852,2.17998,44912,69185
5/24/2018,2.2588,2.2616,2.2297,2.2338,34840,52995
5/23/2018,2.2592,2.2625,2.2248,2.2601,34143,62715
5/22/2018,2.2629,2.2855,2.2538,2.2702,36667,67439
5/21/2018,2.2333,2.2639,2.2246,2.2565,32874,72939
5/18/2018,2.2489,2.2624,2.2295,2.2333,48569,83409
5/17/2018,2.2499,2.2773,2.2407,2.2431,66565,93300
5/16/2018,2.1998,2.2528,2.1939,2.2499,81123,98371
5/15/2018,2.205,2.2226,2.1854,2.2048,73644,105102
5/14/2018,2.1852,2.2053,2.1676,2.2002,61426,115049
5/11/2018,2.1909,2.1959,2.18,2.1888,72883,124659
5/10/2018,2.1691,2.1937,2.1597,2.189,75878,128332
5/9/2018,2.1334,2.171,2.1274,2.1673,76997,135822
5/8/2018,2.1221,2.1367,2.0612,2.1114,89100,141368
5/7/2018,2.1174,2.1409,2.1109,2.134,61437,149336
5/4/2018,2.095,2.1238,2.0821,2.114,67824,155304
5/3/2018,2.0711,2.0936,2.0529,2.0875,72871,161215
5/2/2018,2.0796,2.0921,2.0564,2.0798,94482,168043
5/1/2018,2.13,2.132,2.0729,2.0876,73625,171505
4/30/2018,2.12708,2.15136,2.09782,2.13048,63621,136937
4/27/2018,2.11676,2.12944,2.10656,2.1275,55952,106838
4/26/2018,2.09218,2.11724,2.08914,2.11402,45096,80696
4/25/2018,2.09618,2.09938,2.07048,2.09074,40039,61500
4/24/2018,2.1346,2.1354,2.0856,2.0949,33172,45891
4/23/2018,2.0925,2.1367,2.074,2.1237,37682,52469
4/20/2018,2.0772,2.0987,2.0605,2.0959,34677,60493
4/19/2018,2.074,2.0928,2.0665,2.0774,31061,66868
4/18/2018,2.046,2.0783,2.0433,2.0683,41114,73007
4/17/2018,2.0457,2.0503,2.0253,2.0412,65052,81753
4/16/2018,2.0653,2.0688,2.0323,2.0399,51085,88706
4/13/2018,2.0598,2.0707,2.036,2.0654,58982,96440
4/12/2018,2.0637,2.0722,2.0392,2.0546,60745,104815
4/11/2018,2.0329,2.0788,2.0235,2.0676,82370,109113
4/10/2018,1.9804,2.046,1.9766,2.0409,76738,112267
4/9/2018,1.9525,1.9908,1.9494,1.9842,65705,122306
4/6/2018,1.988,1.9902,1.9383,1.9547,92922,137992
4/5/2018,1.9875,1.9913,1.9632,1.9816,53036,142688
4/4/2018,1.9741,1.9869,1.9363,1.9768,68420,148357
4/3/2018,1.9676,1.9981,1.9676,1.9741,58224,156008
4/2/2018,2.021,2.0331,1.9629,1.9661,57672,162803
3/29/2018,2.02308,2.0376,2.00888,2.02006,55470,135382
3/28/2018,2.01464,2.03138,1.99824,2.01616,50351,105592
3/27/2018,2.01366,2.03684,2.00162,2.0165,39336,79677
3/26/2018,2.0287,2.04794,2.00424,2.01238,40823,63659
3/23/2018,2.0049,2.0438,2.0049,2.0336,28236,45439
3/22/2018,2.0177,2.0227,1.9885,2.0096,24195,51389
3/21/2018,1.9723,2.0209,1.9666,2.0122,26791,52651
3/20/2018,1.9291,1.9778,1.9283,1.9659,30037,57909
3/19/2018,1.9421,1.9525,1.9204,1.9249,31053,63582
3/16/2018,1.9196,1.9542,1.9081,1.9459,54295,73728
3/15/2018,1.9206,1.9371,1.9111,1.9248,45516,78351
3/14/2018,1.8917,1.926,1.8835,1.9243,61689,82977
3/13/2018,1.898,1.9077,1.8574,1.8863,56607,87801
3/12/2018,1.9004,1.9031,1.8649,1.894,49506,95829
3/9/2018,1.872,1.9147,1.8693,1.9043,66515,102920
3/8/2018,1.9187,1.9209,1.8644,1.8677,75923,111298
3/7/2018,1.9373,1.9486,1.8985,1.9103,84899,114825
3/6/2018,1.934,1.9443,1.9157,1.9331,58172,124515
3/5/2018,1.9144,1.9382,1.8841,1.9349,54857,129887
3/2/2018,1.8935,1.9135,1.8566,1.9014,68006,134804
3/1/2018,1.9264,1.9335,1.8777,1.8964,71014,138443
2/28/2018,1.9417,1.94928,1.88274,1.89122,58048,112429
2/27/2018,1.93568,1.93572,1.9036,1.91194,46904,88171
2/26/2018,1.8868,1.90534,1.8739,1.89714,36725,70985
2/23/2018,1.80446,1.84968,1.7918,1.84472,35955,58937
2/22/2018,1.7516,1.7731,1.7361,1.7657,30608,45940
2/21/2018,1.749,1.7594,1.73,1.7573,25370,51942
2/20/2018,1.7489,1.7844,1.7442,1.7503,31570,57962
2/16/2018,1.7426,1.7581,1.7284,1.7509,39339,62456
2/15/2018,1.7128,1.7431,1.6991,1.7358,50589,69721
2/14/2018,1.6735,1.7243,1.6553,1.713,60039,79650
2/13/2018,1.6802,1.6946,1.6519,1.6853,76368,87004
2/12/2018,1.7029,1.7392,1.6743,1.6785,73322,96560
2/9/2018,1.7487,1.7736,1.6704,1.7002,102785,111439
2/8/2018,1.7655,1.775,1.7456,1.765,71289,122473
2/7/2018,1.8177,1.8277,1.7535,1.766,87412,134005
2/6/2018,1.8344,1.8377,1.8003,1.8052,84444,147966
2/5/2018,1.872,1.88,1.8302,1.8466,77238,153532
2/2/2018,1.9014,1.9074,1.8428,1.872,72047,162188
2/1/2018,1.8947,1.9099,1.8781,1.8958,80216,167292
1/31/2018,1.86172,1.90106,1.85306,1.89646,74201,139927
1/30/2018,1.92352,1.93224,1.86334,1.88058,64660,110687
1/29/2018,1.93792,1.9421,1.91194,1.92734,41557,80369
1/26/2018,1.90244,1.94866,1.90132,1.93542,44071,56308
1/25/2018,1.9209,1.9314,1.9041,1.9154,30780,33852
1/24/2018,1.9069,1.9273,1.8854,1.9164,42258,43220
1/23/2018,1.8884,1.915,1.8827,1.9087,26435,47616
1/22/2018,1.8664,1.888,1.86,1.8801,29641,53233
1/19/2018,1.881,1.8825,1.8492,1.8636,44811,62292
1/18/2018,1.8718,1.8859,1.8522,1.8835,61140,70330
1/17/2018,1.8411,1.8714,1.8269,1.8584,54949,69290
1/16/2018,1.85,1.8599,1.8285,1.8384,64199,72617
1/12/2018,1.8354,1.8525,1.8204,1.8495,66782,81775
1/11/2018,1.8343,1.8602,1.8285,1.837,72206,95120
1/10/2018,1.8451,1.8513,1.82,1.8327,76388,103359
1/9/2018,1.7984,1.8468,1.7961,1.8362,83268,108522
1/8/2018,1.7892,1.7995,1.7807,1.7918,63652,122831
1/5/2018,1.8095,1.8099,1.7806,1.7858,54402,129225
1/4/2018,1.8066,1.8111,1.7771,1.8067,67298,133374
1/3/2018,1.7601,1.8085,1.7588,1.7974,64365,139251
1/2/2018,1.793,1.8038,1.7604,1.7631,64894,142872
12/29/2017,1.79264,1.80398,1.7853,1.79648,35776,116896
12/28/2017,1.78814,1.79688,1.78206,1.79396,34321,92320
12/27/2017,1.78868,1.79524,1.76058,1.79302,30738,68321
12/26/2017,1.7543,1.81098,1.7473,1.78784,28341,48825
12/22/2017,1.7449,1.7635,1.732,1.7623,32689,38101
12/21/2017,1.7369,1.7517,1.7278,1.7476,33510,48371
12/20/2017,1.6992,1.7388,1.6973,1.7353,38501,59945
12/19/2017,1.6747,1.702,1.6718,1.6966,29535,67113
12/18/2017,1.6555,1.6857,1.6535,1.6725,40480,75483
12/15/2017,1.675,1.6873,1.6533,1.6548,52154,84437
12/14/2017,1.6537,1.6816,1.6469,1.6707,60675,90593
12/13/2017,1.7033,1.7144,1.6438,1.6467,77342,102518
12/12/2017,1.7266,1.7589,1.6911,1.6976,64646,107219
12/11/2017,1.7158,1.7368,1.7064,1.7266,57075,116241
12/8/2017,1.698,1.7337,1.6938,1.7166,65128,122636
12/7/2017,1.6667,1.7026,1.662,1.7,73494,135391
12/6/2017,1.7007,1.7108,1.66,1.6609,83188,152175
12/5/2017,1.6935,1.7323,1.6894,1.7184,73231,157640
12/4/2017,1.7365,1.7392,1.6908,1.6922,64078,169971
12/1/2017,1.7321,1.77,1.7315,1.7416,66867,174982
11/30/2017,1.73608,1.75786,1.71816,1.72968,52235,143411
11/29/2017,1.76496,1.77668,1.72806,1.7327,57278,114266
11/28/2017,1.78878,1.78896,1.7606,1.77064,40159,88405
11/27/2017,1.78458,1.79784,1.77526,1.78846,44934,72320
11/24/2017,1.7635,1.7948,1.7615,1.788,13356,50187
11/22/2017,1.7661,1.7825,1.76,1.7679,31073,61369
11/21/2017,1.7406,1.7753,1.7387,1.7731,31921,66306
11/20/2017,1.7455,1.7479,1.7174,1.7438,27689,73663
11/17/2017,1.7188,1.7523,1.7169,1.7447,45002,82592
11/16/2017,1.7324,1.743,1.7121,1.7137,47813,88405
11/15/2017,1.7348,1.752,1.7262,1.7388,58694,93425
11/14/2017,1.7881,1.7886,1.7325,1.7612,64058,99664
11/13/2017,1.8284,1.8326,1.7854,1.7929,68704,107071
11/10/2017,1.8187,1.8336,1.807,1.8124,75509,122417
11/9/2017,1.8272,1.8345,1.8106,1.8197,69780,131525
11/8/2017,1.806,1.8402,1.7963,1.8213,86032,139092
11/7/2017,1.8247,1.835,1.8025,1.8153,79104,146715
11/6/2017,1.7902,1.839,1.7767,1.83,65354,150433
11/3/2017,1.7812,1.7998,1.7687,1.7934,77050,158164
11/2/2017,1.746,1.7874,1.734,1.7697,78043,161419
11/1/2017,1.7489,1.7708,1.7335,1.741,79553,159359
10/31/2017,1.72526,1.75634,1.71146,1.74192,64363,128135
10/30/2017,1.74488,1.7486,1.71956,1.73356,50622,101640
10/27/2017,1.73274,1.75494,1.71454,1.74812,39141,77620
10/26/2017,1.7252,1.7473,1.70156,1.74082,42629,57985
10/25/2017,1.7334,1.7429,1.7004,1.7348,34105,43601
10/24/2017,1.6748,1.7355,1.6659,1.7155,32927,51720
10/23/2017,1.6841,1.6915,1.6725,1.6783,30176,58498
10/20/2017,1.6459,1.6847,1.6288,1.6781,36592,65184
10/19/2017,1.6502,1.6588,1.6255,1.6447,37241,71876
10/18/2017,1.6312,1.6553,1.6183,1.6429,45686,73421
10/17/2017,1.6195,1.6394,1.6089,1.6301,44575,76663
10/16/2017,1.6222,1.6463,1.6144,1.6169,44342,84440
10/13/2017,1.5855,1.6276,1.584,1.6222,53431,89237
10/12/2017,1.6083,1.612,1.5697,1.5832,57473,96010
10/11/2017,1.5935,1.6138,1.5878,1.6092,58874,104622
10/10/2017,1.5551,1.5971,1.5545,1.5915,51754,110560
10/9/2017,1.5575,1.5666,1.5366,1.5594,50998,117825
10/6/2017,1.6192,1.6308,1.549,1.5588,84261,130221
10/5/2017,1.5815,1.633,1.5764,1.6114,67909,135404
10/4/2017,1.5491,1.5899,1.5428,1.5805,64645,138623
10/3/2017,1.5553,1.5696,1.5423,1.5655,55381,143933
10/2/2017,1.5875,1.5915,1.5421,1.5553,63727,154656
9/29/2017,1.6201,1.62702,1.58562,1.5941,50747,127520
9/28/2017,1.6185,1.63732,1.6048,1.6216,50104,99612
9/27/2017,1.67504,1.67848,1.62274,1.6412,48808,76160
9/26/2017,1.71918,1.7318,1.67364,1.68886,43069,57122
9/25/2017,1.67,1.7302,1.6631,1.722,34778,42764
9/22/2017,1.6445,1.6695,1.6438,1.6684,25591,49847
9/21/2017,1.6505,1.6558,1.6205,1.6438,36792,57294
9/20/2017,1.663,1.6688,1.6419,1.6551,31423,61621
9/19/2017,1.6704,1.6767,1.6424,1.655,27552,63962
9/18/2017,1.6615,1.6783,1.6542,1.6686,45952,68934
9/15/2017,1.626,1.6675,1.615,1.6617,63224,77443
9/14/2017,1.6461,1.6566,1.6232,1.6287,74761,85935
9/13/2017,1.6584,1.6741,1.6403,1.6473,81613,96029
9/12/2017,1.6354,1.6673,1.6252,1.6563,68289,99528
9/11/2017,1.6497,1.6581,1.6006,1.6345,70850,104900
9/8/2017,1.6557,1.6734,1.6336,1.6476,73487,109744
9/7/2017,1.6713,1.6937,1.6425,1.661,88105,115952
9/6/2017,1.6835,1.694,1.643,1.6733,109061,130436
9/5/2017,1.7509,1.7509,1.6579,1.6991,117467,139156
9/1/2017,1.7744,1.7832,1.696,1.7479,131095,129687
8/31/2017,1.69984,1.8601,1.69458,1.85134,141819,105104
8/30/2017,1.69906,1.77076,1.68556,1.73638,115415,82679
8/29/2017,1.67852,1.73988,1.63828,1.71074,62743,63452
8/28/2017,1.72468,1.7477,1.67538,1.6841,53005,44535
8/25/2017,1.6871,1.7406,1.64,1.6666,50970,32316
8/24/2017,1.623,1.6866,1.622,1.6641,62154,45398
8/23/2017,1.5824,1.6249,1.5795,1.6189,28217,49052
8/22/2017,1.5905,1.6046,1.5806,1.5908,26779,53792
8/21/2017,1.6274,1.628,1.5734,1.5841,34159,58689
8/18/2017,1.5908,1.6358,1.5791,1.624,55989,66090
8/17/2017,1.5639,1.5932,1.5374,1.5869,59497,73821
8/16/2017,1.585,1.5962,1.559,1.5638,49275,79112
8/15/2017,1.5784,1.5889,1.5657,1.5795,52429,86772
8/14/2017,1.613,1.6199,1.5741,1.5767,53021,91485
8/11/2017,1.5968,1.6215,1.5852,1.613,58967,97067
8/10/2017,1.6223,1.6494,1.593,1.6028,74922,105372
8/9/2017,1.6045,1.6248,1.596,1.62,69360,112400
8/8/2017,1.6295,1.6345,1.5956,1.6208,93507,117077
8/7/2017,1.6525,1.6525,1.6042,1.6299,86678,131736
8/4/2017,1.6323,1.6525,1.6244,1.6463,65155,136673
8/3/2017,1.6456,1.6569,1.6209,1.6319,77165,147297
8/2/2017,1.6572,1.6669,1.6291,1.6448,88424,146317
8/1/2017,1.6777,1.6846,1.6387,1.6613,74945,143607
7/31/2017,1.66834,1.6853,1.65406,1.68244,62896,113231
7/28/2017,1.63072,1.66388,1.62074,1.65792,51420,89872
7/27/2017,1.60678,1.6388,1.60052,1.63464,32769,66321
7/26/2017,1.59522,1.61564,1.57658,1.61272,36098,45962
7/25/2017,1.5597,1.6129,1.555,1.5962,24216,29204
7/24/2017,1.5575,1.5787,1.5444,1.5568,26820,36777
7/21/2017,1.6065,1.6125,1.556,1.5633,36357,40377
7/20/2017,1.6152,1.6341,1.6025,1.6062,41242,45890
7/19/2017,1.5849,1.6205,1.5835,1.6169,50172,53046
7/18/2017,1.5588,1.5926,1.5499,1.5789,70400,60831
7/17/2017,1.5625,1.5729,1.5531,1.5567,51544,66968
7/14/2017,1.526,1.5634,1.5205,1.5605,73540,76815
7/13/2017,1.5162,1.5395,1.4957,1.5261,54392,88418
7/12/2017,1.5294,1.5485,1.5156,1.5208,63794,97391
7/11/2017,1.504,1.533,1.4786,1.5183,74078,109549
7/10/2017,1.5064,1.5143,1.4759,1.5007,59746,115895
7/7/2017,1.5238,1.5243,1.473,1.4984,73790,124767
7/6/2017,1.5205,1.5417,1.509,1.5287,76575,134228
7/5/2017,1.534,1.5409,1.4875,1.5024,81886,142376
7/3/2017,1.5135,1.5396,1.5012,1.5348,47828,145660
6/30/2017,1.4804,1.51898,1.47666,1.514,54234,118905
6/29/2017,1.48638,1.49902,1.47418,1.48044,37174,92128
6/28/2017,1.44308,1.4872,1.4377,1.47938,45166,66478
6/27/2017,1.44428,1.4672,1.43976,1.45818,33227,50978
6/26/2017,1.4352,1.448,1.4121,1.4387,23402,36176
6/23/2017,1.4369,1.4454,1.4268,1.4341,35647,44914
6/22/2017,1.4112,1.4472,1.4035,1.4345,35387,51329
6/21/2017,1.4228,1.445,1.3955,1.4105,42055,60439
6/20/2017,1.4486,1.4571,1.4165,1.424,30743,68562
6/19/2017,1.4523,1.4716,1.446,1.4506,53890,75617
6/16/2017,1.44,1.4615,1.4369,1.4548,52737,80765
6/15/2017,1.432,1.4425,1.4101,1.4357,81324,89419
6/14/2017,1.4856,1.499,1.4292,1.4327,92154,97511
6/13/2017,1.4877,1.5067,1.4746,1.4995,64128,101695
